Wien-Alter-Ausländische Herkunft | Vienna-Age-Foreign Background;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;.;.;2;30;12461;744;763;474;496;294;319;169;12;118;2332;6740;20090101
AT1;AT13;AT130;.;.;2;31;12313;773;732;466;470;305;308;168;20;120;2475;6476;20090101
AT1;AT13;AT130;.;.;2;32;12240;803;679;469;472;328;296;157;11;112;2450;6463;20090101
AT1;AT13;AT130;.;.;2;33;12527;795;737;449;470;320;301;209;17;118;2349;6762;20090101
AT1;AT13;AT130;.;.;2;34;12908;820;860;412;406;370;287;179;15;121;2386;7052;20090101
AT1;AT13;AT130;.;.;2;35;12808;809;918;383;380;397;216;146;19;92;2459;6989;20090101
AT1;AT13;AT130;.;.;2;36;13169;882;864;412;411;418;255;125;14;115;2384;7289;20090101
AT1;AT13;AT130;.;.;2;37;13465;944;779;352;441;497;243;152;13;116;2294;7634;20090101
AT1;AT13;AT130;.;.;2;38;13801;949;820;415;430;444;214;150;20;115;2341;7903;20090101
AT1;AT13;AT130;.;.;2;39;14035;968;734;342;344;481;239;148;13;104;2189;8473;20090101
AT1;AT13;AT130;.;.;2;40;14565;897;669;360;388;474;262;124;18;86;2102;9185;20090101
AT1;AT13;AT130;.;.;2;41;14094;845;519;391;325;458;251;129;19;91;2011;9055;20090101
AT1;AT13;AT130;.;.;2;42;14099;792;759;358;364;451;123;86;8;80;1961;9117;20090101
